[DEBUG-VA-CONT] Hybrid Logic (V_FILTER=0.01, V_READ_TH=0.6)
VALID t=2.970000e-07 V=+1.100000 | gate_W=1.0000 | r_ref=-208.1923 | R=9.069565e+02 I=1.2128e-03
VALID t=2.980000e-07 V=+1.150000 | gate_W=1.0000 | r_ref=-208.2541 | R=9.181658e+02 I=1.2525e-03
VALID t=2.990000e-07 V=+1.200000 | gate_W=1.0000 | r_ref=-208.3096 | R=9.298550e+02 I=1.2905e-03
VALID t=3.000000e-07 V=+1.200000 | gate_W=1.0000 | r_ref=-206.8591 | R=1.156164e+03 I=1.0379e-03
VALID t=3.010000e-07 V=+1.200000 | gate_W=1.0000 | r_ref=-206.8591 | R=1.156165e+03 I=1.0379e-03
VALID t=3.020000e-07 V=+1.200000 | gate_W=1.0000 | r_ref=-206.8591 | R=1.156165e+03 I=1.0379e-03
VALID t=3.030000e-07 V=+1.200000 | gate_W=1.0000 | r_ref=-206.8591 | R=1.156165e+03 I=1.0379e-03
VALID t=3.040000e-07 V=+1.200000 | gate_W=1.0000 | r_ref=-206.8591 | R=1.156165e+03 I=1.0379e-03
VALID t=3.050000e-07 V=+1.200000 | gate_W=1.0000 | r_ref=-206.8591 | R=1.156165e+03 I=1.0379e-03
VALID t=3.060000e-07 V=+1.200000 | gate_W=1.0000 | r_ref=-206.8591 | R=1.156165e+03 I=1.0379e-03
VALID t=3.070000e-07 V=+1.200000 | gate_W=1.0000 | r_ref=-206.8591 | R=1.156165e+03 I=1.0379e-03
VALID t=3.080000e-07 V=+1.200000 | gate_W=1.0000 | r_ref=-206.8591 | R=1.156165e+03 I=1.0379e-03
VALID t=3.090000e-07 V=+1.200000 | gate_W=1.0000 | r_ref=-206.8591 | R=1.156165e+03 I=1.0379e-03
VALID t=3.100000e-07 V=+1.200000 | gate_W=1.0000 | r_ref=-206.8591 | R=1.156165e+03 I=1.0379e-03
VALID t=3.110000e-07 V=+1.200000 | gate_W=1.0000 | r_ref=-206.8591 | R=1.156165e+03 I=1.0379e-03
